linker,source,pos,ptclass,sense,other_senses,other_pos,semfield1,subsense1,semfield2,subsense2
будто,БТС,союз,,"как, словно","1. неуверенность в чем-л., предположительность чего-л.; вроде, кажется 2. сомнение, недоверие к сказанному кем-л.: разве, неужели, так ли 3. уверенность в обратном тому, что утверждается",частица,сравнение,симилятив,сравнение,экватив
будто,БТС,нет пометы,,"сомнение, неуверенность в достоверности сообщаемого; что","1. неуверенность в чем-л., предположительность чего-л.; вроде, кажется 2. сомнение, недоверие к сказанному кем-л.: разве, неужели, так ли 3. уверенность в обратном тому, что утверждается",частица,ПУ,эмоции,NA,NA
будто,АГ-80,союз,,NA,NA,частица-союз,сравнение,экватив,сравнение,симилятив
будто,ЕФР,союз,,условно-предположительное сравнение: как бы,"1. выражение предположительности высказываемого: словно бы, вроде, кажется 2. выражение сомнения в услышанном: разве, неужели, так ли 3. в отрицательных конструкциях при выражении уверенности в обратном",частица,сравнение,симилятив,сравнение,экватив
будто,ЕФР,союз,,сомнение в достоверности сообщаемого в придаточном предложении: что,"1. выражение предположительности высказываемого: словно бы, вроде, кажется 2. выражение сомнения в услышанном: разве, неужели, так ли 3. в отрицательных конструкциях при выражении уверенности в обратном",частица,ПУ,эмоции,NA,NA
будто,ЕФР,союз,,"в сравнительных оборотах и сравнительных придаточных предложениях: как, словно","1. выражение предположительности высказываемого: словно бы, вроде, кажется 2. выражение сомнения в услышанном: разве, неужели, так ли 3. в отрицательных конструкциях при выражении уверенности в обратном",частица,сравнение,симилятив,сравнение,экватив
будто бы,БТС,союз,,будто,1. будто,частица,сравнение,экватив,сравнение,симилятив
будто бы,АГ-80,союз,,NA,NA,NA,сравнение,симилятив,сравнение,экватив
будто бы,ЕФР,союз,,недостоверность действия или события: как если бы; как будто бы,"1. выражение сомнения в достоверности чего-л.: якобы 2. выражение предположения, догадки о возможности или вероятности чего-л. 3. указание на условность, недостоверность или мнимость чего-л.: как будто бы 4. выражение сомнения или недоверия к услышанному: разве, неужели",частица,сравнение,симилятив,NA,NA
будто бы,ЕФР,союз,,"мнимость или недостоверность меры, степени признака, действия, состояния","1. выражение сомнения в достоверности чего-л.: якобы 2. выражение предположения, догадки о возможности или вероятности чего-л. 3. указание на условность, недостоверность или мнимость чего-л.: как будто бы 4. выражение сомнения или недоверия к услышанному: разве, неужели",частица,ПУ,эмоции,NA,NA
будь бы... а то,АГ-80,союз,,NA,NA,NA,заместительные отношения,NA,NA,NA
будь то,АГ-80,союз,,пояснительный (раскрытие перечня),NA,NA,мереология,конкретизация,дизъюнкция,NA
будь то,ЕФР,союз,,"присоединение к обобщающему слову ряда однородных членов предложения (раскрывающих или конкретизирующих обобщающее слово): например, как то",NA,NA,мереология,конкретизация,NA,NA
будь то... или,АГ-80,союз,,NA,NA,NA,дизъюнкция,NA,NA,NA
будь... а то,АГ-80,союз,,NA,NA,NA,заместительные отношения,NA,NA,NA
будь... будь,АГ-80,союз,,NA,NA,NA,дизъюнкция,NA,NA,NA
в зависимости от того что,АГ-80,союз,,NA,NA,NA,условие,реальное,условие,ирреальное
в знак того что,АГ-80,союз,,NA,NA,NA,цель,NA,NA,NA
в знак того что,ЕФР,союз,,мотив действия главной части,NA,NA,цель,NA,причина,собственно причина
